HIT_info	AID	StartTime_str	EndTime_str	StartTime	EndTime	WorkTime	WorkerCity	WorkerCountry	WorkerIP	native	yearsSpoken	ctrlPosition	pos_ctrlSubPosition	ctrlIndex	RANK1_01	RANK1_02	RANK1_03	RANK1_04	RANK2_01	RANK2_02	RANK2_03	RANK2_04	RANK3_01	RANK3_02	RANK3_03	RANK3_04	RANK4_01	RANK4_02	RANK4_03	RANK4_04	RANK5_01	RANK5_02	RANK5_03	RANK5_04	SrcIndex1	SrcIndex2	SrcIndex3	SrcIndex4	SrcIndex5	trAID1_1	trAID1_2	trAID1_3	trAID1_4	trAID2_1	trAID2_2	trAID2_3	trAID2_4	trAID3_1	trAID3_2	trAID3_3	trAID3_4	trAID4_1	trAID4_2	trAID4_3	trAID4_4	trAID5_1	trAID5_2	trAID5_3	trAID5_4
3	A27R50DXNA34P4	Wed Nov 10 08:24:01 EST 2010	Wed Nov 10 08:27:18 EST 2010	1289395441000	1289395638000	197	Raleigh	United States	66.26.7.62	yes	26	1	3	3	2	2	1	3	3	2	1	4	2	4	3	1	2	3	1	4	2	4	3	1	ctrl	9	10	11	12	neg1	neg2	pos1	neg3	A2DSLTEW8FFMBV	A353OCL6LM6M4O	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA	A2DSLTEW8FFMBV	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A1WYSSW33M2FZ2	A143BVGOUF83JE	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A143BVGOUF83JE	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A1WYSSW33M2FZ2
3	A2QTARMOEUQMF1	Tue Nov 09 09:28:35 EST 2010	Tue Nov 09 09:33:20 EST 2010	1289312915000	1289313200000	285	Cache	United States	76.198.249.50	N/A		1	3	3	2	4	1	3	4	3	1	2	1	4	2	3	2	3	1	4	1	3	4	2	ctrl	9	10	11	12	neg1	neg2	pos1	neg3	A2DSLTEW8FFMBV	A353OCL6LM6M4O	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA	A2DSLTEW8FFMBV	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A1WYSSW33M2FZ2	A143BVGOUF83JE	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A143BVGOUF83JE	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A1WYSSW33M2FZ2
3	A3QPOJPYI2BBT5	Wed Nov 17 14:55:20 EST 2010	Wed Nov 17 15:01:45 EST 2010	1290023720000	1290024105000	385	Gaylord	United States	66.227.188.2	N/A		1	3	3	3	2	1	1	4	3	1	3	1	4	2	3	2	2	1	4	2	3	4	1	ctrl	9	10	11	12	neg1	neg2	pos1	neg3	A2DSLTEW8FFMBV	A353OCL6LM6M4O	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA	A2DSLTEW8FFMBV	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A1WYSSW33M2FZ2	A143BVGOUF83JE	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A143BVGOUF83JE	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A1WYSSW33M2FZ2
3	AR3MI99IUBU20	Sun Nov 14 23:47:33 EST 2010	Sun Nov 14 23:59:06 EST 2010	1289796453000	1289797146000	693	Tucson	United States	75.164.119.34	N/A		1	3	3	3	4	1	2	4	3	1	3	1	4	3	3	2	1	3	4	4	2	3	1	ctrl	9	10	11	12	neg1	neg2	pos1	neg3	A2DSLTEW8FFMBV	A353OCL6LM6M4O	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA	A2DSLTEW8FFMBV	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A1WYSSW33M2FZ2	A143BVGOUF83JE	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A143BVGOUF83JE	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A1WYSSW33M2FZ2
3	AW468BGG4HUVN	Sun Nov 14 17:36:40 EST 2010	Sun Nov 14 18:12:55 EST 2010	1289774200000	1289776375000	2175	Arlington	United States	96.255.14.183	N/A		1	3	3	2	4	1	3	4	3	1	2	1	4	3	2	2	1	3	4	2	3	4	1	ctrl	9	10	11	12	neg1	neg2	pos1	neg3	A2DSLTEW8FFMBV	A353OCL6LM6M4O	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA	A2DSLTEW8FFMBV	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A1WYSSW33M2FZ2	A143BVGOUF83JE	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A143BVGOUF83JE	A1ACZGD5AZZ3R7	A353OCL6LM6M4O	A1WYSSW33M2FZ2
4	A2LV5QYHH24OMY	Sat Nov 13 17:54:10 EST 2010	Sat Nov 13 17:58:27 EST 2010	1289688850000	1289689107000	257	N/A	United States	75.203.187.134	N/A		1	4	4	2	3	4	1	3	1	1	4	2	4	1	3	1	3	2	4	2	3	1	4	ctrl	13	14	15	16	neg1	neg2	neg3	pos1	A143BVGOUF83JE	A1ACZGD5AZZ3R7	A1WYSSW33M2FZ2	A353OCL6LM6M4O	A143BVGOUF83JE	A353OCL6LM6M4O	A1ACZGD5AZZ3R7	A1WYSSW33M2FZ2	A2PWMDZUCIKW4C	A143BVGOUF83JE	A1WYSSW33M2FZ2	A353OCL6LM6M4O	A2PWMDZUCIKW4C	A353OCL6LM6M4O	A143BVGOUF83JE	A1WYSSW33M2FZ2
4	A3HNT6SZG5IBCQ	Thu Nov 11 16:26:48 EST 2010	Thu Nov 11 16:30:35 EST 2010	1289510808000	1289511035000	227	Champaign	United States	209.174.180.134	yes	43	1	4	4	2	3	4	1	2	1	3	4	4	3	1	2	1	2	3	4	1	4	3	2	ctrl	13	14	15	16	neg1	neg2	neg3	pos1	A143BVGOUF83JE	A1ACZGD5AZZ3R7	A1WYSSW33M2FZ2	A353OCL6LM6M4O	A143BVGOUF83JE	A353OCL6LM6M4O	A1ACZGD5AZZ3R7	A1WYSSW33M2FZ2	A2PWMDZUCIKW4C	A143BVGOUF83JE	A1WYSSW33M2FZ2	A353OCL6LM6M4O	A2PWMDZUCIKW4C	A353OCL6LM6M4O	A143BVGOUF83JE	A1WYSSW33M2FZ2
4	AHOU3VA400IOT	Wed Nov 10 18:52:29 EST 2010	Wed Nov 10 18:54:30 EST 2010	1289433149000	1289433270000	121	Garner	United States	67.238.165.56	yes	34	1	4	4	2	4	3	1	2	1	3	4	2	4	1	3	2	3	1	4	3	2	1	4	ctrl	13	14	15	16	neg1	neg2	neg3	pos1	A143BVGOUF83JE	A1ACZGD5AZZ3R7	A1WYSSW33M2FZ2	A353OCL6LM6M4O	A143BVGOUF83JE	A353OCL6LM6M4O	A1ACZGD5AZZ3R7	A1WYSSW33M2FZ2	A2PWMDZUCIKW4C	A143BVGOUF83JE	A1WYSSW33M2FZ2	A353OCL6LM6M4O	A2PWMDZUCIKW4C	A353OCL6LM6M4O	A143BVGOUF83JE	A1WYSSW33M2FZ2
4	ASX2NOUVA9CRH	Mon Nov 08 20:18:56 EST 2010	Mon Nov 08 20:25:36 EST 2010	1289265536000	1289265936000	400	Tulsa	United States	99.184.104.174	N/A		1	4	4	2	3	4	1	1	3	2	4	2	4	3	1	3	1	2	4	1	3	2	4	ctrl	13	14	15	16	neg1	neg2	neg3	pos1	A143BVGOUF83JE	A1ACZGD5AZZ3R7	A1WYSSW33M2FZ2	A353OCL6LM6M4O	A143BVGOUF83JE	A353OCL6LM6M4O	A1ACZGD5AZZ3R7	A1WYSSW33M2FZ2	A2PWMDZUCIKW4C	A143BVGOUF83JE	A1WYSSW33M2FZ2	A353OCL6LM6M4O	A2PWMDZUCIKW4C	A353OCL6LM6M4O	A143BVGOUF83JE	A1WYSSW33M2FZ2
4	AW468BGG4HUVN	Thu Nov 18 16:42:33 EST 2010	Thu Nov 18 16:43:58 EST 2010	1290116553000	1290116638000	85	Arlington	United States	96.255.14.183	N/A		1	4	4	2	4	3	1	1	3	3	2	4	3	2	1	1	3	2	4	1	4	2	3	ctrl	13	14	15	16	neg1	neg2	neg3	pos1	A143BVGOUF83JE	A1ACZGD5AZZ3R7	A1WYSSW33M2FZ2	A353OCL6LM6M4O	A143BVGOUF83JE	A353OCL6LM6M4O	A1ACZGD5AZZ3R7	A1WYSSW33M2FZ2	A2PWMDZUCIKW4C	A143BVGOUF83JE	A1WYSSW33M2FZ2	A353OCL6LM6M4O	A2PWMDZUCIKW4C	A353OCL6LM6M4O	A143BVGOUF83JE	A1WYSSW33M2FZ2
5	A1KEURR4Z7DXX	Mon Nov 15 14:38:56 EST 2010	Mon Nov 15 14:52:43 EST 2010	1289849936000	1289850763000	827	Milwaukee	United States	75.44.39.14	N/A		5	2	5	4	2	3	1	3	1	2	4	3	4	2	1	1	2	3	4	4	2	4	4	17	18	19	20	ctrl	A353OCL6LM6M4O	A2PWMDZUCIKW4C	A143BVGOUF83JE	A1WYSSW33M2FZ2	A2PWMDZUCIKW4C	A1WYSSW33M2FZ2	A143BVGOUF83JE	A353OCL6LM6M4O	A353OCL6LM6M4O	A143BVGOUF83JE	A2PWMDZUCIKW4C	A1WYSSW33M2FZ2	A1WYSSW33M2FZ2	A143BVGOUF83JE	A2PWMDZUCIKW4C	A353OCL6LM6M4O	neg1	pos1	neg2	neg3
5	A2LV5QYHH24OMY	Thu Nov 18 09:54:52 EST 2010	Thu Nov 18 10:02:44 EST 2010	1290092092000	1290092564000	472	Myrtle Beach	United States	64.138.207.73	N/A		5	2	5	4	2	3	1	2	1	3	4	1	4	2	3	2	3	1	4	2	3	4	1	17	18	19	20	ctrl	A353OCL6LM6M4O	A2PWMDZUCIKW4C	A143BVGOUF83JE	A1WYSSW33M2FZ2	A2PWMDZUCIKW4C	A1WYSSW33M2FZ2	A143BVGOUF83JE	A353OCL6LM6M4O	A353OCL6LM6M4O	A143BVGOUF83JE	A2PWMDZUCIKW4C	A1WYSSW33M2FZ2	A1WYSSW33M2FZ2	A143BVGOUF83JE	A2PWMDZUCIKW4C	A353OCL6LM6M4O	neg1	pos1	neg2	neg3
5	A3DTKUROENDDQI	Mon Nov 08 21:33:46 EST 2010	Mon Nov 08 21:39:38 EST 2010	1289270026000	1289270378000	352	Pineville	United States	173.217.149.86	yes	24	5	2	5	4	3	2	1	1	2	3	4	3	2	1	4	2	1	3	4	2	1	4	3	17	18	19	20	ctrl	A353OCL6LM6M4O	A2PWMDZUCIKW4C	A143BVGOUF83JE	A1WYSSW33M2FZ2	A2PWMDZUCIKW4C	A1WYSSW33M2FZ2	A143BVGOUF83JE	A353OCL6LM6M4O	A353OCL6LM6M4O	A143BVGOUF83JE	A2PWMDZUCIKW4C	A1WYSSW33M2FZ2	A1WYSSW33M2FZ2	A143BVGOUF83JE	A2PWMDZUCIKW4C	A353OCL6LM6M4O	neg1	pos1	neg2	neg3
5	A3F0OII70LQX09	Mon Nov 15 10:57:09 EST 2010	Mon Nov 15 10:58:59 EST 2010	1289836629000	1289836739000	110	Grand Forks	United States	134.129.218.121	N/A		5	2	5	4	3	2	1	2	1	3	4	4	3	1	2	2	1	3	4	2	1	3	4	17	18	19	20	ctrl	A353OCL6LM6M4O	A2PWMDZUCIKW4C	A143BVGOUF83JE	A1WYSSW33M2FZ2	A2PWMDZUCIKW4C	A1WYSSW33M2FZ2	A143BVGOUF83JE	A353OCL6LM6M4O	A353OCL6LM6M4O	A143BVGOUF83JE	A2PWMDZUCIKW4C	A1WYSSW33M2FZ2	A1WYSSW33M2FZ2	A143BVGOUF83JE	A2PWMDZUCIKW4C	A353OCL6LM6M4O	neg1	pos1	neg2	neg3
5	AW468BGG4HUVN	Mon Nov 08 20:16:11 EST 2010	Mon Nov 08 20:17:43 EST 2010	1289265371000	1289265463000	92	Arlington	United States	96.255.14.183	N/A		5	2	5	3	2	3	1	1	1	2	4	3	1	2	3	1	2	2	2	2	1	3	2	17	18	19	20	ctrl	A353OCL6LM6M4O	A2PWMDZUCIKW4C	A143BVGOUF83JE	A1WYSSW33M2FZ2	A2PWMDZUCIKW4C	A1WYSSW33M2FZ2	A143BVGOUF83JE	A353OCL6LM6M4O	A353OCL6LM6M4O	A143BVGOUF83JE	A2PWMDZUCIKW4C	A1WYSSW33M2FZ2	A1WYSSW33M2FZ2	A143BVGOUF83JE	A2PWMDZUCIKW4C	A353OCL6LM6M4O	neg1	pos1	neg2	neg3
6	A1KEURR4Z7DXX	Fri Nov 12 13:45:43 EST 2010	Fri Nov 12 13:49:12 EST 2010	1289587543000	1289587752000	209	Milwaukee	United States	75.44.39.14	yes	61	5	3	6	1	4	3	3	2	4	1	4	4	3	2	1	1	3	4	2	4	4	1	4	21	22	23	24	ctrl	A3DD3ACPMVDVCA	A172X4W90UOST1	A2PWMDZUCIKW4C	A143BVGOUF83JE	A143BVGOUF83JE	A2PWMDZUCIKW4C	A3DD3ACPMVDVCA	A172X4W90UOST1	A172X4W90UOST1	A143BVGOUF83JE	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A172X4W90UOST1	A143BVGOUF83JE	neg1	neg2	pos1	neg3
6	A2HYC64S7RMP7R	Sun Nov 14 19:37:36 EST 2010	Sun Nov 14 19:41:15 EST 2010	1289781456000	1289781675000	219	Milwaukee	United States	24.209.191.209	N/A		5	3	6	1	1	2	3	3	4	1	1	1	3	2	1	1	4	3	2	4	4	1	4	21	22	23	24	ctrl	A3DD3ACPMVDVCA	A172X4W90UOST1	A2PWMDZUCIKW4C	A143BVGOUF83JE	A143BVGOUF83JE	A2PWMDZUCIKW4C	A3DD3ACPMVDVCA	A172X4W90UOST1	A172X4W90UOST1	A143BVGOUF83JE	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A172X4W90UOST1	A143BVGOUF83JE	neg1	neg2	pos1	neg3
6	A2Z4V3OEGVKX6I	Fri Nov 12 14:35:38 EST 2010	Fri Nov 12 14:38:28 EST 2010	1289590538000	1289590708000	170	Warwick	United States	68.197.60.110	N/A		5	3	6	1	4	3	2	2	3	1	4	4	3	2	1	1	3	4	2	2	3	1	4	21	22	23	24	ctrl	A3DD3ACPMVDVCA	A172X4W90UOST1	A2PWMDZUCIKW4C	A143BVGOUF83JE	A143BVGOUF83JE	A2PWMDZUCIKW4C	A3DD3ACPMVDVCA	A172X4W90UOST1	A172X4W90UOST1	A143BVGOUF83JE	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A172X4W90UOST1	A143BVGOUF83JE	neg1	neg2	pos1	neg3
6	A3VWTT02FMWBW6	Wed Nov 17 20:17:25 EST 2010	Wed Nov 17 20:19:47 EST 2010	1290043045000	1290043187000	142	Fairmont	United States	173.197.241.46	yes	23	5	3	6	1	3	4	2	2	4	1	3	1	4	3	2	1	4	3	2	2	3	1	4	21	22	23	24	ctrl	A3DD3ACPMVDVCA	A172X4W90UOST1	A2PWMDZUCIKW4C	A143BVGOUF83JE	A143BVGOUF83JE	A2PWMDZUCIKW4C	A3DD3ACPMVDVCA	A172X4W90UOST1	A172X4W90UOST1	A143BVGOUF83JE	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A172X4W90UOST1	A143BVGOUF83JE	neg1	neg2	pos1	neg3
6	AW468BGG4HUVN	Mon Nov 08 19:43:06 EST 2010	Mon Nov 08 19:44:32 EST 2010	1289263386000	1289263472000	86	Arlington	United States	96.255.14.183	N/A		5	3	6	1	4	2	3	2	3	1	4	4	2	2	1	2	3	4	1	3	3	1	4	21	22	23	24	ctrl	A3DD3ACPMVDVCA	A172X4W90UOST1	A2PWMDZUCIKW4C	A143BVGOUF83JE	A143BVGOUF83JE	A2PWMDZUCIKW4C	A3DD3ACPMVDVCA	A172X4W90UOST1	A172X4W90UOST1	A143BVGOUF83JE	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A3DD3ACPMVDVCA	A1ACZGD5AZZ3R7	A172X4W90UOST1	A143BVGOUF83JE	neg1	neg2	pos1	neg3
7	A2HYC64S7RMP7R	Sun Nov 14 12:14:17 EST 2010	Sun Nov 14 12:17:51 EST 2010	1289754857000	1289755071000	214	Milwaukee	United States	24.209.191.209	N/A		5	2	7	3	4	1	2	2	1	4	3	2	1	4	2	4	1	2	3	N/A	1	4	3	25	26	27	28	ctrl	A143BVGOUF83JE	A1ACZGD5AZZ3R7	A172X4W90UOST1	A3DD3ACPMVDVCA	A143BVGOUF83JE	A3DD3ACPMVDVCA	A172X4W90UOST1	A1ACZGD5AZZ3R7	A1ACZGD5AZZ3R7	A172X4W90UOST1	A143BVGOUF83JE	A3DD3ACPMVDVCA	A172X4W90UOST1	A3DD3ACPMVDVCA	A143BVGOUF83JE	A1ACZGD5AZZ3R7	neg1	pos1	neg2	neg3
7	A3F0OII70LQX09	Mon Nov 15 11:27:49 EST 2010	Mon Nov 15 11:30:14 EST 2010	1289838469000	1289838614000	145	Grand Forks	United States	134.129.218.121	N/A		5	2	7	4	3	2	1	2	1	3	4	2	1	4	3	3	4	2	1	4	1	3	2	25	26	27	28	ctrl	A143BVGOUF83JE	A1ACZGD5AZZ3R7	A172X4W90UOST1	A3DD3ACPMVDVCA	A143BVGOUF83JE	A3DD3ACPMVDVCA	A172X4W90UOST1	A1ACZGD5AZZ3R7	A1ACZGD5AZZ3R7	A172X4W90UOST1	A143BVGOUF83JE	A3DD3ACPMVDVCA	A172X4W90UOST1	A3DD3ACPMVDVCA	A143BVGOUF83JE	A1ACZGD5AZZ3R7	neg1	pos1	neg2	neg3
7	A3R467YDQ1C8VG	Thu Nov 18 17:03:55 EST 2010	Thu Nov 18 17:20:24 EST 2010	1290117835000	1290118824000	989	Nashville	United States	68.53.91.197	N/A		5	2	7	1	3	4	2	2	1	4	3	3	4	2	1	4	2	2	3	3	2	3	1	25	26	27	28	ctrl	A143BVGOUF83JE	A1ACZGD5AZZ3R7	A172X4W90UOST1	A3DD3ACPMVDVCA	A143BVGOUF83JE	A3DD3ACPMVDVCA	A172X4W90UOST1	A1ACZGD5AZZ3R7	A1ACZGD5AZZ3R7	A172X4W90UOST1	A143BVGOUF83JE	A3DD3ACPMVDVCA	A172X4W90UOST1	A3DD3ACPMVDVCA	A143BVGOUF83JE	A1ACZGD5AZZ3R7	neg1	pos1	neg2	neg3
