SegID	Urdu	LDC_Translation_1	LDC_Translation_2	LDC_Translation_3	LDC_Translation_4	Turk_Translation_1	Turk_Translation_2	Turk_Translation_3	Turk_Translation_4	WorkerID_1	WorkerID_2	WorkerID_3	WorkerID_4
bbc_urd_20090102.0020__11	خارجہ امور کے وزیر مملکت نے کہا کہ فلسطین کا مسلہ اقوام متحدہ کی قراردادوں کے مطابق حل کیا جائے۔	The Minister of State for Foreign Affairs said that the problem of Palestine should be solved according to the resolutions of the United Nations.	The Minister of State for Foreign Affairs said that the Kashmir issue should be resolved according to the resolutions of the United Nations.	The Minister of State for Foreign Affairs said that the Palestine issue should be resolved in accordance with the United Nations' resolutions.	The Secretary of State for Foreign Affairs said that the Palestinian issue should be resolved in accordance with UN resolutions.	Minister of foreign affairs said that issue of Palestine should be solved according to the resolutions of the United Nations.	minister of state for foreign affairs has said that the issue of Palestine should be resolved in accordance with the resolutions of the United Nations.	The prime minister of external affairs said that the issue of Falastin should be solved according to the planning of The United States.	The Minister of External Affairs of state said that the Palestine issues should be resolved according to the UN resolutions .	a1wyssw33m2fz2	a143bvgouf83je	a353ocl6lm6m4o	a1aczgd5azz3r7
bbc_urd_20090102.0020__12	عرب ملکوں سے تعلق رکھنے والے دو صحافیوں نے بھی اجلاس میں شرکت کی اور انہوں نے اجلاس میں فلسطین کی تازہ صورتحال کے بارے میں بتایا۔	Two journalists from Arab countries also participated in the meeting and reported the current situation in Palestine.	Two journalists belonging to the Arab countries also attended the meeting and they talked about the current situation of Palestine in the meeting.	Two journalists related to Arab countries also attended the meeting and they informed about the current situation of Palestine, in the meeting.	Two Arab journalists also attended the meeting and briefed the the attendees regarding the current situation in Palestine.	Two reporters from Arab countries also attended the seminar and they told about the current situation about Palestine in the seminar.	two journalists from Arab countries also joined the conference and they told about the latest situation in Palestine.	Two generalists belonging Arab countries also attended the meeting and told about the fresh situation of Falastin.	Two journalists from Arab countries attended the meeting on the latest situation of Palestine.	a1wyssw33m2fz2	a143bvgouf83je	a353ocl6lm6m4o	a1aczgd5azz3r7
bbc_urd_20090102.0020__13	اُدھر اسلام آباد میں انٹرنیشنل یونیورسٹی کے طلباء نے فلسطین پر اسرائیلی حملوں کے خلاف احتجاجی مظاہرہ کیا۔	Meanwhile, students of the International University in Islamabad held a protest demonstration against Israeli attacks on Palestine.	Here, in Islamabad, the students of International University also staged a protest rally against the Israeli attacks on Palestine.	Meanwhile, students of the International University in Islamabad held a protest against Israeli attacks on Palestine.	Meanwhile, the students of the International University in Islamabad held a protest rally against the Israeli assault on Palestine.	There in Islamabad, students of International University, Islamabad protested against the Israel attacks on Palestine.	in Islamabad, students of the International University demonstrated protest against the Israeli attacks on Palestine.	Here the students of International University in Islamabad made strike against Islaean attacks against Falastin.	On the other hand, the International University students went on a protest at Islamabad against the Israeli attacks on Palestine.	a1wyssw33m2fz2	a143bvgouf83je	a353ocl6lm6m4o	a1aczgd5azz3r7
bbc_urd_20090102.0020__14	مظاہرین نے بینرز اور کتبے بھی اُٹھا رکھے تھے جس پر اسرائیل کے خلاف نعرے درج تھے۔	The demonstrators were holding banners and signs featuring slogans against Israel.	The demonstrators were holding banners and placards on which there were slogans against Israel.	Protesters were also holding banners and posters with slogans written on them against Israel.	The protestors carried banners and placards inscribed with anti-Israeli slogans.	Protesters carried banners and placards, on which slogans against Israel were written.	the protesters were holding banners and placards having anti Israel slogans written on it.	The strikers hold banners and pads containing slogans against Israel.	The demonstrators also raised banners and slogans against Israel.	a1wyssw33m2fz2	a143bvgouf83je	a353ocl6lm6m4o	a1aczgd5azz3r7
bbc_urd_20090103.0008__1	فلو سے بچنے کے لئے ڈائٹنگ سے اجتناب	Avoiding Dieting Can Prevent Flu	Avoid Dieting to Avoid Flu	Avoid Dieting to Protect Against Flu	Keep off dieting to avoid the flu	Avoiding dieting to prevent from flu.	abstention from dieting in order to avoid Flu.	Abstain from decrease eating in order to escape from flue.	In order to be safer from flu quit dieting.	a1wyssw33m2fz2	a143bvgouf83je	a353ocl6lm6m4o	a2pwmdzucikw4c
bbc_urd_20090103.0008__2	امریکی سائنسدانوں کی یہ تحقیق چوہوں پر کئے گئے تجربات کے بعد سامنے آئی ہے۔	This finding by American scientists has emerged as a result of experiments performed on rats.	This research of American scientists has come to light after experiments done on mice.	This research by American scientists has come out as a result of experiments conducted on mice.	This study of US scientists is the result of tests carried out on mice.	This research of American scientists came in front after experimenting on mice.	This research from the American Scientists have come up after the experiments on rats.	This research of American scientists was shown after many experiments on mouses.	According to the American Scientist this research has come out after much experimentations on rats.	a1wyssw33m2fz2	a143bvgouf83je	a353ocl6lm6m4o	a2pwmdzucikw4c
bbc_urd_20090103.0008__3	تجربات سے یہ ثابت ہوا کہ کم کیلوریز والی خوراک پر رکھے گئے چوہوں میں فلو کے وائرس سے نمٹنے کی صلاحیت نسبتاً کم ہوگئی۔	The experiments proved that the ability to combat the flu virus was lower in rats who were kept on a low-calorie diet.	The experiments have proved that the capability of fighting Flu virus became less in mice placed on food containing fewer calories.	Experiments proved that the ability to fight the flu virus, relatively decreased in mice kept on a low calorie diet.	The research found that mice fed with a low-calorie diet had relatively weaker immune systems for fighting off the flu virus.	Experiments proved that mice on a lower calorie diet had comparatively less ability to fight the flu virus.	in has been proven from experiments that rats put on diet with less calories had less ability to resist the Flu virus.	It was proved by experiments the low calories eaters mouses had low defending power for flue in ratio.	Experimentaions have proved that those rats on less calories diet have developed a tendency of not overcoming the flu virus .	a1wyssw33m2fz2	a143bvgouf83je	a353ocl6lm6m4o	a2pwmdzucikw4c
bbc_urd_20090103.0008__4	تحقیق نے اس پرانی کہاوت کو غلط ثابت کردیا ہے کہ ’بخار میں فاقہ کرنا بہتر ثابت ہوتا ہے‘۔	This research has proven wrong the old saying that "while suffering from fever, it is better to abstain from eating."	The old saying that,'It's better to starve during fever,'has been proven wrong by the research.	Research has proved wrong the old saying, to 'starve a fever'.	The research has disproven the "starve a fever" adage.	Research disproved the old axiom that " It is better to fast during fever"	research has proven this old myth wrong that its better to fast during fever.	The research proved this old talk that decrease eating is useful in fever.	This Research has proved the very old saying wrong that it is good to starve while in fever.	a1wyssw33m2fz2	a143bvgouf83je	a353ocl6lm6m4o	a2pwmdzucikw4c
bbc_urd_20090103.0008__5	سائنسدانوں کے مطابق بخار کے دوران خوب کھائیں پئیں۔	According to scientists, it is better to eat and drink a lot during a fever.	According to the scientists,eat well during fever.	According to scientists one should eat heartily in a fever.	According to the scientists, one should eat well when suffering from a fever.	According to scientists, eat a lot during fever.	according to the scientists one should eat a lot during fever.	Eat and drink more in fever according to scientists.	According to the scientist a patient should eat more while in fever.	a1wyssw33m2fz2	a143bvgouf83je	a353ocl6lm6m4o	a2pwmdzucikw4c
bbc_urd_20090103.0008__6	مشیگن سٹیٹ یونیورسٹی کے تحقیقات کاروں  کا کہنا ہے کہ ڈائیٹ لینے والے چوہوں میں انفیکشن سے لڑنے کی صلاحیت بہت کم پائی گئی اور ان کے مرنے کا امکان بھی بڑھ گیا جبکہ معمول کی خوراک لینے والے چوہوں میں فلو کے وائرس کے خلاف قوت مدافعت زیادہ تھی۔	Researchers from Michigan State University say that rats on a low diet were found to have less ability to fight off infection and an increased chance of mortality, while rats on a normal diet had greater resistance against the flu virus.	According to the researchers of Michigan State University, the fighting capability against infections in mice that were placed on a diet was found meagre and the chances of their death increased, while the mice placed on regular food had a very high immunity against flu virus.	According to the researchers of Michigan State University, mice on diet were found to have much less ability to fight infection and they had a higher possibility of death, whereas mice on a normal diet had a higher immunity against the flu virus.	According to researchers at Michigan State University, mice fed with a calorie-restricted diet were less able to fight off infection and were more likely to die, while mice fed with a routine diet had more of an immunity against the flu virus.	Researchers of the Michigan State University say that mice getting diet food were found to have very less ability to fight the infection and their chances of death also increased. On the other hand, mice getting regular diet had more energy against the flu virus	the researchers from the Michigan State University say that the rats on dieting had less power to resist the infection and their chances of dying had increased whereas rats on normal diet had better resistance against the Flu virus.	It is the saying of the researchers of Machigan State university that the low eater mouses had the low defending power against infection and their death chances decreased although the more eaters mouses had the high power against flue virus.	According to the Researchers of the State of Michigan University diet taking rats have less strength to fight with the infection and also their chances of death increased whereas earlier those rats on common diet had more strength to fight with the flu virus.	a1wyssw33m2fz2	a143bvgouf83je	a353ocl6lm6m4o	a2pwmdzucikw4c
bbc_urd_20090103.0008__7	پروفیسر الزبتھ گارڈنر کے مطابق ڈائٹنگ کرنے والے افراد فلو سے نہ صرف بہت جلد متاثر ہوجائیں گے بلکہ انہیں صحتیاب ہونے میں بھی زیادہ وقت لگے گا۔	According to Professor Elizabeth Gardner, people on a diet will not only succumb quickly to the flu, but will also take longer to recover.	According to Professor Elizabeth Gardner, people on a diet will not only be affected very quickly by the flu,it will also take more time for them to recuperate.	According to professor Elizabeth Gardner, people that are dieting will not only be affected by the flu more quickly but they will also take longer to get well.	According to Professor Elizabeth Gardner, people on diets will not only be more likely to catch the flu virus, but they will also take longer to recover.	According to Professor Elizabeth Gardner, people who do dieting will not be effected with flue sooner but also they will take more time to recover from it.	In many modern countries it has for sometime being fashionable to think that, by free education for all-whether rich or poor, clever or stupid- one can solve all the problems of the society.	Professor Elizabeth Gardner said that those who are dieting are not only sooner affected by the flu, but also take longer to recover.	According to the Professor Elizabeth Cardener The people on dieting will be more infectious to the flu virus and will also take long time to recover from this disease.	a143bvgouf83je	a172x4w90uost1	a3dd3acpmvdvca	a2pwmdzucikw4c
bbc_urd_20090103.0008__8	ان کا یہ بھی کہنا ہے کہ وہ افراد جو فلو کی ویکسین لے چکے ہیں انہیں بھی موسم سرما کے چند ماہ کے دوران ڈائٹنگ سے اجتناب کرنا چاہیئے۔	She also says that even people who have taken the flu vaccine should avoid dieting during the winter months.	She also says that even those people who have taken the flu vaccine should avoid dieting during the few months of winter.	She also said that those individuals who have already taken the flu vaccine should also avoid dieting during the few months of winter.	Gardner was of the view that those who have received the flu vaccine should avoid dieting during the winter.	she also said that those people who have taken the flue vaccine should also avoid dieting during few months of winter.	But we can already see that free education for all is not enough; we find in such countries a far larger number of people with University degrees than there are jobs for them to fill.	She also said that those who have taken flu vaccines should also avoid dieting for a few months during the winter.	HE also says that those people who have taken Flu vaccinations also should quit dieting during few months of summer to keep this virus away.	a143bvgouf83je	a172x4w90uost1	a3dd3acpmvdvca	a2pwmdzucikw4c
bbc_urd_20090103.0021__1	’پہلا جوہری تجربہ 1990 میں کیا تھا‘	First Nuclear Test Done in 1990	"First Nuclear Experiment conducted in 1990"	'First Nuclear Test, Carried Out in 1990'	'First nuclear test conducted in 1990'	'first nuclear experiment was done in 1990'	This plan of education was implemented on 1990.	First nuclear test was done in 1990	The first nuclear test was in 1990.	a143bvgouf83je	a172x4w90uost1	a3dd3acpmvdvca	a1aczgd5azz3r7
bbc_urd_20090103.0021__2	تھامس ریڈ  نے جو امریکہ کی لیور نیشنل لیبارٹری میں ویپن ڈیزائنر کے طور پر کام کرچکے ہیں یہ کتاب لاس ایلموس نیشنل لیبارٹری کے ٹیکنیکل انٹیلجنس کے سابق ڈائریکٹر ڈینی سٹلمین کے تعاون سے لکھی ہے۔	Thomas Reed, who has worked as a weapon designer in America's Liver National Laboratory, wrote this book in cooperation with Danny Stillman, former Director of Technical Intelligence at Los Alamos National Laboratory.	Thomas Reed, who has worked as a weapon designer in Lawrence Livermore National Laboratory of America, has written this book in collaboration with Danny Stillman,the former Director of Technical Intelligence of Los Alamos National Laboratory.	Thomas Reed, who has worked as Weapons Designer at America's Lever National Laboratory, wrote this book in coordination with former Director of Technical Intelligence at the Alamos National Laboratory.	Thomas Reed, who has worked as a weapons designer at Livermore National Laboratory in the United States, has written a book in collaboration with Danny Stillman, former director of the technical intelligence division at Los Alamos National Laboratory.	Thomas Reid who has worked in the Lever national laboratory of America as a Weapon designer, has written this book with the help of the Ex director of technical intelligence at Las Elmos national laboratory, Dani Stillman.	Because of their degrees, they refuse to do what they think low work and in fact work with the hands is thought to be dirty and shameful in such countries.	Thomas Reid, who worked in the Leur National Laboratory as a weapon designer had written this book with the help of Los Alamos National Laboratory's former Technical Intelligence Director, Danny Staleman.	Thomas red who was a former director of the Cooperation in the National Laboratory technical committees in Los Angeles, United States has written this book.	a143bvgouf83je	a172x4w90uost1	a3dd3acpmvdvca	a1aczgd5azz3r7
bbc_urd_20090103.0021__3	یہ کتاب ’نیوکلیئر ایکسپریس: بم کی سیاسی تاریخ اور اس کے پھیلاؤ‘ کے عنوان سے لکھی گئی ہے اور اس میں دونوں مصنفین نے دعوی کیا ہے کہ جس ملک نے بھی ایٹم بم بنایا ہے اس نے یا تو کسی دوسرے ملک کے جوہری راز چرائے ہیں یا پھر اسے کسی دوسری جوہری طاقت کا تعاون حاصل رہا ہے۔	In the book, entitled "Nuclear Express: The Political History and Spread of the Bomb," both writers have claimed that any country that has made an atomic bomb has either stolen nuclear secrets from another country or has done so with the support of another nuclear power.	This book has been written with the title 'Nuclear Express:A Political History of the Bomb And its Proliferation,' and in this both the authors have claimed that any country that has made an atomic bomb has either stolen the nuclear secrets of another country or has had cooperation with some other nuclear power.	This book has been written under the title, 'The Nuclear Express: A Political History of the Bomb and Its Proliferation' and both the writers have claimed in it that every country that has made the atom bomb has either stolen nuclear secrets from another country or has had the cooperation of another atomic power.	In their book, 'The Nuclear Express: A Political History of the Bomb and its Proliferation,' Reed and Stillman claim that every country that has ever produced a nuclear bomb has been able to do so because it stole the nuclear secrets of another country or enjoyed the cooperation of another nuclear power.	this book was titled, 'Nuclear Express: political history of bomb and its proliferation' and both writers have claimed that which ever country first made a nuclear bomb either stole the nuclear secrets of another country or they had the support of another nuclear power.	The work of a completely uneducated farmer is far more important than that of a professor: we can live without education, but we die if we have no food. If no one cleaned our streets and took the rubbish away from our houses, we should get terrible diseases in our towns.	In this book, called 'Nuclear Express', the political history of the bomb and its spread, both the authors claim that whichever country made an atom bomb either stole the nuclear secrets from another country or they got help from a nuclear power.	The book with the title 'nuclear express the political history: bomb and the proliferation' was written by two writers says that the country has also tested the atom bomb and has nuclear secrets.	a143bvgouf83je	a172x4w90uost1	a3dd3acpmvdvca	a1aczgd5azz3r7
